PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0BXLQ,8/3r1Npk/7p/p7/r7/8/5PPP/3R2K1 w - - 0 31,d1d7 a4a1 d7d1 a1d1,583,93,100,81,backRankMate endgame mate mateIn2 short,https://lichess.org/O2ScHqsa#61,
0BXOg,3r2k1/Bpp2ppp/3b4/3N4/2P5/P4qPP/1P2rP2/1K1Q3R b - - 4 23,d6e5 d5e7 g8f8 d1d8,916,76,99,1833,discoveredAttack kingsideAttack mate mateIn2 middlegame short,https://lichess.org/5FjIyDU0/black#46,
0BXUI,r3k1nr/1p1bqp1p/pbn1p1p1/3pP1N1/3P3P/2PB1Q2/P4PP1/RNB1K2R b KQkq - 0 11,h7h6 c1a3 h6g5 a3e7,1816,76,91,260,advantage middlegame short,https://lichess.org/z2tS0ZnZ/black#22,French_Defense French_Defense_Wing_Gambit
0BXXB,6k1/3R1pp1/4p2p/p7/B3P3/b7/1r2nP1P/K4R2 w - - 2 29,f1b1 b2b1 a1b1 e2c3,954,121,85,26,advantage attraction endgame short,https://lichess.org/CT3owfBW#57,
0BXe1,8/6k1/p2p2p1/3Pp2p/3rNb1r/5P1q/P3Q1RP/4R1K1 w - - 2 36,e4d6 d4d2 e2d2 f4d2,1517,160,67,7,advantage middlegame short,https://lichess.org/tftvsSfL#71,
0BXe7,2q3k1/5p1p/1R2p1p1/3pQ3/8/1P4P1/2r2P1P/6K1 b - - 6 31,h7h5 b6b8 c8b8 e5b8,1012,75,100,238,endgame,https://lichess.org/pgeVYJad/black#62,
0BXhM,7R/5p2/5k2/P5p1/8/7p/KP6/7r b - - 0 42,g5g4 a5a6 g4g3 a6a7 h1a1 a2a1,1403,76,90,286,advancedPawn crushing endgame long rookEndgame,https://lichess.org/1Y6J58M2/black#84,
0BXpx,r1bqkb1r/1p1p1ppp/p1n5/3BP3/3p4/5N2/PPP2PPP/R1BQK2R w KQkq - 0 9,f3d4 d8a5 c2c3 a5d5,1436,75,84,332,advantage fork opening short,https://lichess.org/w1bZV1Fx#17,Sicilian_Defense Sicilian_Defense_Old_Sicilian
0BXrw,1r3rk1/2pR1p2/pp2p1p1/6R1/1n2NN2/8/Pn3P1P/4K3 b - - 0 23,b8d8 e4f6 g8h8 f4g6 h8g7 g6f8,2355,85,90,311,crushing discoveredAttack long middlegame,https://lichess.org/St4JWBkg/black#46,
0BXxU,r2q1rk1/pp5n/1pnp3p/4pN2/4P1Q1/2P4P/PP3PP1/R3R1K1 b - - 1 17,g8h8 g4g7,697,108,83,539,mate mateIn1 middlegame oneMove,https://lichess.org/lw5KScPP/black#34,Four_Knights_Game Four_Knights_Game_Italian_Variation
0BXzp,5r1k/p5pp/8/3p4/2q5/2P3P1/PP3Q1P/4R1K1 b - - 0 27,f8f2 e1e8 f2f8 e8f8,1507,252,100,12,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/dqNd7LsJ/black#54,
0BY2g,4b1k1/6n1/2pq1rpQ/1p1pN2p/pP1P1PP1/P1NB4/2P4P/6K1 b - - 1 28,g7f5 g4f5 g6f5 h6g5,1756,75,88,100,crushing kingsideAttack middlegame short,https://lichess.org/vI5Gl4Di/black#56,
0BY3a,2R5/8/5k1P/3p4/1n1P4/8/2p3PK/2r5 b - - 0 42,c1d1 h6h7 d1h1 h2h1 c2c1r c8c1,1781,75,84,242,advancedPawn crushing endgame long,https://lichess.org/aSm7TMzi/black#84,
0BY6H,2k1r2r/ppp4p/8/8/3nPN1R/2N1n3/PPP3P1/2R1K3 w - - 7 20,f4d5 e3g2 e1f2 g2h4,1118,75,95,3745,crushing fork middlegame short,https://lichess.org/dxgq63UJ#39,
